ticket_id,arrival_ts,queue,priority,language,channel,customer_tier,is_vip,is_reopened,complexity,estimated_effort_min,first_response_sla_min,first_response_due_ts,resolution_sla_business_min,resolution_due_ts,required_skill_tags,ticket_subject
TKT-00026,2026-03-02 09:26:33,Product Support,P3,EN,email,Mid-Market,0,0,standard,29,240,2026-03-02 13:26:33,960,2026-03-04 09:27:00,product_support,Workflow automation did not trigger after status update
TKT-00027,2026-03-02 09:28:33,Integrations/API,P3,EN,portal,SMB,0,0,standard,39,240,2026-03-02 13:28:33,960,2026-03-04 09:29:00,integrations_api|api_specialist,GraphQL endpoint times out on nested customer query
TKT-00028,2026-03-02 09:47:37,Product Support,P3,EN,portal,Mid-Market,0,0,complex,60,240,2026-03-02 13:47:37,960,2026-03-04 09:48:00,product_support|product_specialist,Search results differ between UI and exported report
TKT-00029,2026-03-02 09:48:38,Integrations/API,P3,DE,chat,SMB,0,0,standard,32,240,2026-03-02 13:48:38,960,2026-03-04 09:49:00,integrations_api|de_language|api_specialist,API rate limit reached earlier than documented threshold
TKT-00030,2026-03-02 09:50:14,Product Support,P4,EN,email,Mid-Market,0,0,standard,27,480,2026-03-03 09:51:00,2400,2026-03-09 09:51:00,product_support,Notification rule sent duplicate emails to requester
TKT-00031,2026-03-02 09:51:30,Account Access,P3,EN,portal,Mid-Market,0,0,standard,26,240,2026-03-02 13:51:30,960,2026-03-04 09:52:00,account_access,MFA challenge not accepted for admin account
TKT-00032,2026-03-02 09:58:34,Product Support,P3,EN,email,Enterprise,0,0,standard,39,240,2026-03-02 13:58:34,960,2026-03-04 09:59:00,product_support|enterprise_handling,Search results differ between UI and exported report
TKT-00033,2026-03-02 10:00:11,Product Support,P2,EN,portal,SMB,0,0,standard,44,60,2026-03-02 11:00:11,480,2026-03-03 10:01:00,product_support,Exported CSV misses custom fields in final report
TKT-00034,2026-03-02 10:03:05,Billing,P3,EN,chat,Mid-Market,0,0,standard,31,240,2026-03-02 14:03:05,960,2026-03-04 10:04:00,billing,Upgrade request created prorated amount mismatch
TKT-00035,2026-03-02 10:04:35,Integrations/API,P2,EN,chat,SMB,0,0,standard,39,60,2026-03-02 11:04:35,480,2026-03-03 10:05:00,integrations_api|api_specialist,GraphQL endpoint times out on nested customer query
TKT-00036,2026-03-02 10:06:49,Account Access,P2,EN,email,Enterprise,0,0,simple,13,60,2026-03-02 11:06:49,480,2026-03-03 10:07:00,account_access|enterprise_handling,MFA challenge not accepted for admin account
TKT-00037,2026-03-02 10:08:31,Product Support,P3,EN,email,SMB,0,0,simple,19,240,2026-03-02 14:08:31,960,2026-03-04 10:09:00,product_support,Bulk update operation stalled for large ticket batch
TKT-00038,2026-03-02 10:10:56,Account Access,P3,DE,portal,SMB,0,0,simple,5,240,2026-03-02 14:10:56,960,2026-03-04 10:11:00,account_access|de_language,New team member did not receive activation email
TKT-00039,2026-03-02 10:12:12,Integrations/API,P3,EN,portal,SMB,0,0,simple,15,240,2026-03-02 14:12:12,960,2026-03-04 10:13:00,integrations_api|api_specialist,GraphQL endpoint times out on nested customer query
TKT-00040,2026-03-02 10:13:01,Product Support,P3,EN,portal,SMB,0,1,standard,27,240,2026-03-02 14:13:01,960,2026-03-04 10:14:00,product_support,Attachment preview fails for PDF uploaded from mobile app
TKT-00041,2026-03-02 10:15:34,Product Support,P3,EN,email,SMB,0,0,standard,41,240,2026-03-02 14:15:34,960,2026-03-04 10:16:00,product_support,Search results differ between UI and exported report
TKT-00042,2026-03-02 10:17:49,Product Support,P3,DE,portal,SMB,0,0,standard,39,240,2026-03-02 14:17:49,960,2026-03-04 10:18:00,product_support|de_language,Workflow automation did not trigger after status update
TKT-00043,2026-03-02 10:29:52,Integrations/API,P3,EN,portal,SMB,0,0,complex,84,240,2026-03-02 14:29:52,960,2026-03-04 10:30:00,integrations_api|api_specialist|integration_specialist,ERP connector creates duplicate records on retry
TKT-00044,2026-03-02 10:31:43,Product Support,P4,EN,email,SMB,0,0,standard,42,480,2026-03-03 10:32:00,2400,2026-03-09 10:32:00,product_support,Bulk update operation stalled for large ticket batch
TKT-00045,2026-03-02 10:32:42,Product Support,P3,DE,portal,Mid-Market,0,0,standard,35,240,2026-03-02 14:32:42,960,2026-03-04 10:33:00,product_support|de_language,Search results differ between UI and exported report
TKT-00046,2026-03-02 10:36:28,Billing,P2,EN,chat,SMB,0,0,simple,12,60,2026-03-02 11:36:28,480,2026-03-03 10:37:00,billing,Payment method update failed during renewal
TKT-00047,2026-03-02 10:40:49,Product Support,P3,EN,email,SMB,0,0,standard,38,240,2026-03-02 14:40:49,960,2026-03-04 10:41:00,product_support,Dashboard filter not persisting for saved view
TKT-00048,2026-03-02 10:41:38,Integrations/API,P3,EN,portal,Mid-Market,0,0,standard,33,240,2026-03-02 14:41:38,960,2026-03-04 10:42:00,integrations_api|api_specialist,GraphQL endpoint times out on nested customer query
TKT-00049,2026-03-02 10:46:55,Integrations/API,P4,EN,email,Mid-Market,0,0,complex,112,480,2026-03-03 10:47:00,2400,2026-03-09 10:47:00,integrations_api|api_specialist|integration_specialist,ERP connector creates duplicate records on retry
TKT-00050,2026-03-02 10:48:02,Product Support,P2,EN,portal,Enterprise,0,0,complex,72,60,2026-03-02 11:48:02,480,2026-03-03 10:49:00,product_support|enterprise_handling|product_specialist,Webhook retry settings not visible in admin interface
TKT-00051,2026-03-02 10:49:30,Billing,P4,EN,portal,Mid-Market,0,1,complex,45,480,2026-03-03 10:50:00,2400,2026-03-09 10:50:00,billing,Billing contact did not receive monthly invoice email
TKT-00052,2026-03-02 10:50:03,Account Access,P4,EN,portal,SMB,0,0,standard,17,480,2026-03-03 10:51:00,2400,2026-03-09 10:51:00,account_access,User cannot access workspace after password reset
TKT-00053,2026-03-02 10:50:30,Account Access,P3,EN,portal,SMB,0,0,standard,28,240,2026-03-02 14:50:30,960,2026-03-04 10:51:00,account_access,New team member did not receive activation email
TKT-00054,2026-03-02 10:53:48,Account Access,P3,EN,portal,SMB,0,0,standard,24,240,2026-03-02 14:53:48,960,2026-03-04 10:54:00,account_access,User cannot access workspace after password reset
TKT-00055,2026-03-02 10:55:29,Account Access,P4,DE,portal,SMB,0,0,standard,24,480,2026-03-03 10:56:00,2400,2026-03-09 10:56:00,account_access|de_language,Session expires immediately after successful login
TKT-00056,2026-03-02 10:58:09,Account Access,P3,EN,portal,SMB,0,0,standard,26,240,2026-03-02 14:58:09,960,2026-03-04 10:59:00,account_access,MFA challenge not accepted for admin account
TKT-00057,2026-03-02 11:04:20,Billing,P3,EN,portal,SMB,0,1,standard,30,240,2026-03-02 15:04:20,960,2026-03-04 11:05:00,billing,Credit note not applied to outstanding balance
TKT-00058,2026-03-02 11:06:12,Billing,P3,EN,chat,SMB,0,0,standard,29,240,2026-03-02 15:06:12,960,2026-03-04 11:07:00,billing,Upgrade request created prorated amount mismatch
TKT-00059,2026-03-02 11:08:13,Product Support,P4,EN,portal,SMB,0,1,complex,64,480,2026-03-03 11:09:00,2400,2026-03-09 11:09:00,product_support|product_specialist,Webhook retry settings not visible in admin interface
TKT-00060,2026-03-02 11:08:43,Product Support,P4,EN,email,Mid-Market,0,0,standard,45,480,2026-03-03 11:09:00,2400,2026-03-09 11:09:00,product_support,Exported CSV misses custom fields in final report
TKT-00061,2026-03-02 11:08:57,Account Access,P4,EN,portal,Mid-Market,0,0,simple,12,480,2026-03-03 11:09:00,2400,2026-03-09 11:09:00,account_access,Account locked after repeated login attempts
TKT-00062,2026-03-02 11:11:12,Product Support,P3,EN,portal,Enterprise,0,0,complex,90,240,2026-03-02 15:11:12,960,2026-03-04 11:12:00,product_support|enterprise_handling|product_specialist,Webhook retry settings not visible in admin interface
TKT-00063,2026-03-02 11:11:52,Account Access,P2,EN,portal,SMB,0,0,standard,25,60,2026-03-02 12:11:52,480,2026-03-03 11:12:00,account_access,Account locked after repeated login attempts
TKT-00064,2026-03-02 11:13:23,Product Support,P4,EN,email,SMB,0,0,standard,41,480,2026-03-03 11:14:00,2400,2026-03-09 11:14:00,product_support,Notification rule sent duplicate emails to requester
TKT-00065,2026-03-02 11:14:48,Product Support,P3,EN,email,Enterprise,0,0,standard,40,240,2026-03-02 15:14:48,960,2026-03-04 11:15:00,product_support|enterprise_handling,Custom field values not visible in agent workspace
TKT-00066,2026-03-02 11:16:49,Account Access,P3,EN,portal,Enterprise,0,0,simple,8,240,2026-03-02 15:16:49,960,2026-03-04 11:17:00,account_access|enterprise_handling,Account locked after repeated login attempts
TKT-00067,2026-03-02 11:17:29,Integrations/API,P3,EN,email,SMB,0,0,complex,103,240,2026-03-02 15:17:29,960,2026-03-04 11:18:00,integrations_api|api_specialist|integration_specialist,ERP connector creates duplicate records on retry
TKT-00068,2026-03-02 11:21:09,Account Access,P3,EN,portal,SMB,0,0,simple,7,240,2026-03-02 15:21:09,960,2026-03-04 11:22:00,account_access,Session expires immediately after successful login
TKT-00069,2026-03-02 11:23:13,Account Access,P3,EN,chat,SMB,0,0,simple,6,240,2026-03-02 15:23:13,960,2026-03-04 11:24:00,account_access,New team member did not receive activation email
TKT-00070,2026-03-02 11:24:56,Product Support,P4,EN,portal,SMB,0,0,complex,83,480,2026-03-03 11:25:00,2400,2026-03-09 11:25:00,product_support|product_specialist,Workflow automation did not trigger after status update
TKT-00071,2026-03-02 11:25:37,Product Support,P2,EN,portal,SMB,0,0,complex,85,60,2026-03-02 12:25:37,480,2026-03-03 11:26:00,product_support|product_specialist,Bulk update operation stalled for large ticket batch
TKT-00072,2026-03-02 11:26:15,Account Access,P4,EN,portal,Enterprise,1,0,standard,16,480,2026-03-03 11:27:00,2400,2026-03-09 11:27:00,account_access|enterprise_handling,Session expires immediately after successful login
TKT-00073,2026-03-02 11:27:03,Integrations/API,P3,EN,email,SMB,0,0,complex,117,240,2026-03-02 15:27:03,960,2026-03-04 11:28:00,integrations_api|api_specialist|integration_specialist,API rate limit reached earlier than documented threshold
TKT-00074,2026-03-02 11:31:06,Product Support,P3,EN,portal,Mid-Market,0,0,standard,39,240,2026-03-02 15:31:06,960,2026-03-04 11:32:00,product_support,Bulk update operation stalled for large ticket batch
TKT-00075,2026-03-02 11:34:02,Product Support,P3,EN,email,SMB,0,0,complex,78,240,2026-03-02 15:34:02,960,2026-03-04 11:35:00,product_support|product_specialist,Attachment preview fails for PDF uploaded from mobile app
TKT-00076,2026-03-02 11:37:14,Product Support,P2,DE,portal,SMB,0,0,standard,35,60,2026-03-02 12:37:14,480,2026-03-03 11:38:00,product_support|de_language,Dashboard filter not persisting for saved view
TKT-00077,2026-03-02 11:37:48,Product Support,P4,DE,email,SMB,0,0,standard,30,480,2026-03-03 11:38:00,2400,2026-03-09 11:38:00,product_support|de_language,Search results differ between UI and exported report
TKT-00078,2026-03-02 11:38:45,Product Support,P4,EN,email,SMB,0,0,complex,51,480,2026-03-03 11:39:00,2400,2026-03-09 11:39:00,product_support|product_specialist,Notification rule sent duplicate emails to requester
TKT-00079,2026-03-02 11:40:27,Account Access,P4,EN,portal,Enterprise,0,1,complex,56,480,2026-03-03 11:41:00,2400,2026-03-09 11:41:00,account_access|enterprise_handling,SSO login loops back to sign-in page
TKT-00080,2026-03-02 11:40:30,Account Access,P4,EN,email,Mid-Market,0,0,simple,5,480,2026-03-03 11:41:00,2400,2026-03-09 11:41:00,account_access,MFA challenge not accepted for admin account
TKT-00081,2026-03-02 11:43:35,Account Access,P4,EN,portal,Enterprise,0,0,simple,6,480,2026-03-03 11:44:00,2400,2026-03-09 11:44:00,account_access|enterprise_handling,User cannot access workspace after password reset
TKT-00082,2026-03-02 11:43:38,Account Access,P3,EN,email,SMB,0,0,standard,22,240,2026-03-02 15:43:38,960,2026-03-04 11:44:00,account_access,SSO login loops back to sign-in page
TKT-00083,2026-03-02 11:45:52,Billing,P4,EN,portal,Mid-Market,0,0,standard,29,480,2026-03-03 11:46:00,2400,2026-03-09 11:46:00,billing,Upgrade request created prorated amount mismatch
TKT-00084,2026-03-02 11:49:35,Integrations/API,P4,EN,email,SMB,0,1,standard,42,480,2026-03-03 11:50:00,2400,2026-03-09 11:50:00,integrations_api|api_specialist,GraphQL endpoint times out on nested customer query
TKT-00085,2026-03-02 11:52:15,Billing,P4,EN,email,SMB,0,0,standard,28,480,2026-03-03 11:53:00,2400,2026-03-09 11:53:00,billing,Payment method update failed during renewal
TKT-00086,2026-03-02 11:52:44,Account Access,P3,EN,email,SMB,0,0,standard,20,240,2026-03-02 15:52:44,960,2026-03-04 11:53:00,account_access,SSO login loops back to sign-in page
TKT-00087,2026-03-02 11:55:22,Account Access,P2,DE,portal,SMB,0,1,simple,9,60,2026-03-02 12:55:22,480,2026-03-03 11:56:00,account_access|de_language,SCIM-provisioned user missing expected product access
TKT-00088,2026-03-02 11:57:40,Billing,P3,DE,portal,SMB,0,0,complex,43,240,2026-03-02 15:57:40,960,2026-03-04 11:58:00,billing|de_language,Tax calculation differs from contract expectations
TKT-00089,2026-03-02 12:01:02,Billing,P4,DE,portal,SMB,0,0,simple,8,480,2026-03-03 12:02:00,2400,2026-03-09 12:02:00,billing|de_language,Seat reduction request still billed at previous volume
TKT-00090,2026-03-02 12:07:26,Product Support,P3,EN,email,SMB,0,0,standard,30,240,2026-03-03 08:08:00,960,2026-03-04 12:08:00,product_support,Custom field values not visible in agent workspace
TKT-00091,2026-03-02 12:12:45,Billing,P4,EN,portal,SMB,0,0,simple,13,480,2026-03-03 12:13:00,2400,2026-03-09 12:13:00,billing,Tax calculation differs from contract expectations
TKT-00092,2026-03-02 12:16:09,Product Support,P3,EN,chat,Mid-Market,0,0,complex,53,240,2026-03-03 08:17:00,960,2026-03-04 12:17:00,product_support|product_specialist,Workflow automation did not trigger after status update
TKT-00093,2026-03-02 12:16:48,Product Support,P1,EN,portal,Mid-Market,0,0,complex,107,15,2026-03-02 12:31:48,240,2026-03-03 08:17:00,product_support|incident_escalation|product_specialist,Attachment preview fails for PDF uploaded from mobile app
TKT-00094,2026-03-02 12:18:18,Account Access,P3,EN,email,SMB,0,0,standard,29,240,2026-03-03 08:19:00,960,2026-03-04 12:19:00,account_access,Session expires immediately after successful login
TKT-00095,2026-03-02 12:24:03,Billing,P4,DE,email,Mid-Market,0,0,simple,7,480,2026-03-03 12:25:00,2400,2026-03-09 12:25:00,billing|de_language,Invoice shows duplicate line items after plan change
TKT-00096,2026-03-02 12:27:09,Product Support,P3,EN,portal,Mid-Market,0,0,standard,44,240,2026-03-03 08:28:00,960,2026-03-04 12:28:00,product_support,Search results differ between UI and exported report
TKT-00097,2026-03-02 12:37:50,Product Support,P2,DE,portal,SMB,0,1,complex,58,60,2026-03-02 13:37:50,480,2026-03-03 12:38:00,product_support|de_language|product_specialist,Webhook retry settings not visible in admin interface
TKT-00098,2026-03-02 12:39:44,Product Support,P2,EN,email,SMB,0,0,complex,99,60,2026-03-02 13:39:44,480,2026-03-03 12:40:00,product_support|product_specialist,Exported CSV misses custom fields in final report
TKT-00099,2026-03-02 12:42:01,Product Support,P4,EN,portal,SMB,0,0,simple,18,480,2026-03-03 12:43:00,2400,2026-03-09 12:43:00,product_support,Kanban board shows outdated ticket counts after refresh
TKT-00100,2026-03-02 12:42:26,Billing,P3,DE,email,Mid-Market,0,0,complex,70,240,2026-03-03 08:43:00,960,2026-03-04 12:43:00,billing|de_language,Billing contact did not receive monthly invoice email
TKT-00101,2026-03-02 12:52:12,Product Support,P2,EN,email,SMB,0,0,standard,43,60,2026-03-02 13:52:12,480,2026-03-03 12:53:00,product_support,Webhook retry settings not visible in admin interface
TKT-00102,2026-03-02 12:55:14,Account Access,P2,DE,email,Mid-Market,0,0,standard,17,60,2026-03-02 13:55:14,480,2026-03-03 12:56:00,account_access|de_language,MFA challenge not accepted for admin account
TKT-00103,2026-03-02 12:57:15,Product Support,P3,EN,portal,Enterprise,0,0,standard,27,240,2026-03-03 08:58:00,960,2026-03-04 12:58:00,product_support|enterprise_handling,Search results differ between UI and exported report
TKT-00104,2026-03-02 13:06:29,Account Access,P2,DE,portal,Mid-Market,0,0,standard,20,60,2026-03-02 14:06:29,480,2026-03-03 13:07:00,account_access|de_language,SSO login loops back to sign-in page
TKT-00105,2026-03-02 13:09:32,Product Support,P1,EN,email,Enterprise,0,0,simple,23,15,2026-03-02 13:24:32,240,2026-03-03 09:10:00,product_support|enterprise_handling|incident_escalation,Kanban board shows outdated ticket counts after refresh
TKT-00106,2026-03-02 13:10:09,Billing,P4,EN,email,Mid-Market,0,1,standard,27,480,2026-03-03 13:11:00,2400,2026-03-09 13:11:00,billing,Seat reduction request still billed at previous volume
TKT-00107,2026-03-02 13:20:09,Billing,P3,DE,portal,SMB,0,0,standard,32,240,2026-03-03 09:21:00,960,2026-03-04 13:21:00,billing|de_language,Subscription cancellation not reflected in billing portal
TKT-00108,2026-03-02 13:20:22,Billing,P3,EN,email,SMB,0,0,standard,29,240,2026-03-03 09:21:00,960,2026-03-04 13:21:00,billing,Billing contact did not receive monthly invoice email
TKT-00109,2026-03-02 13:40:34,Product Support,P2,EN,portal,SMB,0,0,standard,39,60,2026-03-02 14:40:34,480,2026-03-03 13:41:00,product_support,Kanban board shows outdated ticket counts after refresh
TKT-00110,2026-03-02 13:41:41,Product Support,P3,DE,chat,Mid-Market,0,0,simple,12,240,2026-03-03 09:42:00,960,2026-03-04 13:42:00,product_support|de_language,Attachment preview fails for PDF uploaded from mobile app
TKT-00111,2026-03-02 13:42:45,Integrations/API,P3,EN,email,SMB,0,0,standard,37,240,2026-03-03 09:43:00,960,2026-03-04 13:43:00,integrations_api|api_specialist,SSO assertion rejected after identity provider certificate update
TKT-00112,2026-03-02 13:51:44,Product Support,P3,EN,portal,Mid-Market,0,0,standard,25,240,2026-03-03 09:52:00,960,2026-03-04 13:52:00,product_support,Workflow automation did not trigger after status update
TKT-00113,2026-03-02 13:59:53,Product Support,P3,DE,email,Mid-Market,0,0,standard,31,240,2026-03-03 10:00:00,960,2026-03-04 14:00:00,product_support|de_language,Webhook retry settings not visible in admin interface
TKT-00114,2026-03-02 14:07:50,Product Support,P4,EN,portal,Mid-Market,0,0,standard,28,480,2026-03-03 14:08:00,2400,2026-03-09 14:08:00,product_support,Exported CSV misses custom fields in final report
TKT-00115,2026-03-02 14:09:29,Integrations/API,P3,EN,email,SMB,0,0,standard,46,240,2026-03-03 10:10:00,960,2026-03-04 14:10:00,integrations_api|api_specialist,REST API pagination skips records after cursor handoff
TKT-00116,2026-03-02 14:26:13,Product Support,P3,EN,portal,SMB,0,0,standard,41,240,2026-03-03 10:27:00,960,2026-03-04 14:27:00,product_support,Exported CSV misses custom fields in final report
TKT-00117,2026-03-02 14:37:45,Billing,P3,EN,portal,Enterprise,0,0,standard,35,240,2026-03-03 10:38:00,960,2026-03-04 14:38:00,billing|enterprise_handling,Seat reduction request still billed at previous volume
TKT-00118,2026-03-02 14:44:29,Product Support,P4,EN,email,SMB,0,0,standard,45,480,2026-03-03 14:45:00,2400,2026-03-09 14:45:00,product_support,Dashboard filter not persisting for saved view
TKT-00119,2026-03-02 15:03:19,Product Support,P1,EN,email,Enterprise,0,0,standard,47,15,2026-03-02 15:18:19,240,2026-03-03 11:04:00,product_support|enterprise_handling|incident_escalation,Kanban board shows outdated ticket counts after refresh
TKT-00120,2026-03-02 15:14:51,Product Support,P3,EN,email,SMB,0,0,simple,17,240,2026-03-03 11:15:00,960,2026-03-04 15:15:00,product_support,Webhook retry settings not visible in admin interface
TKT-00121,2026-03-03 08:04:36,Product Support,P3,DE,email,SMB,0,0,standard,31,240,2026-03-03 12:04:36,960,2026-03-05 08:05:00,product_support|de_language,Attachment preview fails for PDF uploaded from mobile app
TKT-00122,2026-03-03 08:10:58,Product Support,P4,EN,email,SMB,0,0,simple,11,480,2026-03-04 08:11:00,2400,2026-03-10 08:11:00,product_support,Custom field values not visible in agent workspace
TKT-00123,2026-03-03 08:19:03,Account Access,P3,EN,portal,SMB,0,0,standard,27,240,2026-03-03 12:19:03,960,2026-03-05 08:20:00,account_access,Group-based permissions not syncing from identity provider
TKT-00124,2026-03-03 08:24:13,Billing,P4,EN,portal,SMB,0,0,standard,20,480,2026-03-04 08:25:00,2400,2026-03-10 08:25:00,billing,Payment method update failed during renewal
TKT-00125,2026-03-03 08:25:34,Billing,P3,EN,portal,SMB,0,0,standard,30,240,2026-03-03 12:25:34,960,2026-03-05 08:26:00,billing,Credit note not applied to outstanding balance
TKT-00126,2026-03-03 08:33:36,Account Access,P3,EN,email,Mid-Market,0,0,standard,19,240,2026-03-03 12:33:36,960,2026-03-05 08:34:00,account_access,SSO login loops back to sign-in page
TKT-00127,2026-03-03 08:38:46,Billing,P2,EN,portal,SMB,0,1,complex,79,60,2026-03-03 09:38:46,480,2026-03-04 08:39:00,billing,Billing contact did not receive monthly invoice email
TKT-00128,2026-03-03 08:39:03,Product Support,P2,EN,portal,Mid-Market,0,0,standard,34,60,2026-03-03 09:39:03,480,2026-03-04 08:40:00,product_support,Search results differ between UI and exported report
TKT-00129,2026-03-03 08:53:23,Account Access,P4,EN,portal,Mid-Market,0,0,standard,18,480,2026-03-04 08:54:00,2400,2026-03-10 08:54:00,account_access,Group-based permissions not syncing from identity provider
TKT-00130,2026-03-03 09:00:44,Account Access,P2,DE,email,SMB,0,0,standard,22,60,2026-03-03 10:00:44,480,2026-03-04 09:01:00,account_access|de_language,Permission update not reflected in project dashboard
TKT-00131,2026-03-03 09:10:08,Account Access,P3,DE,email,SMB,0,0,simple,6,240,2026-03-03 13:10:08,960,2026-03-05 09:11:00,account_access|de_language,Account locked after repeated login attempts
TKT-00132,2026-03-03 09:13:57,Integrations/API,P3,EN,email,SMB,0,0,complex,99,240,2026-03-03 13:13:57,960,2026-03-05 09:14:00,integrations_api|api_specialist|integration_specialist,REST API pagination skips records after cursor handoff
TKT-00133,2026-03-03 09:16:06,Account Access,P3,EN,portal,SMB,0,1,simple,7,240,2026-03-03 13:16:06,960,2026-03-05 09:17:00,account_access,Session expires immediately after successful login
TKT-00134,2026-03-03 09:16:40,Integrations/API,P3,EN,email,Enterprise,0,0,standard,54,240,2026-03-03 13:16:40,960,2026-03-05 09:17:00,integrations_api|enterprise_handling|api_specialist,REST API pagination skips records after cursor handoff
